ticker,name,sector,region,style,z_momentum,z_value,z_growth,z_quality,z_cashflow,z_efficiency,z_risk,z_dividend,score_raw,score_adj,score,data_completeness,quality_of_earnings,operating_cf_margin,cash_ratio,debt_to_ocf_ratio,cash_conversion_cycle,mom_6m,revenue_cagr_3y,eps_cagr_3y,pe_ttm,roe,operating_margin,fcf_yield,debt_to_equity,qoe_flag,debt_flag,cf_quality,profile,date
TSM,TSMC,Semiconductors,Asia,Blend,0.206,0.351,0.043,0.935,0.724,0.238,0.32,-0.507,0.618,28.0,100.0,78.3,1.48,62.77,1.63,0.49,-17.85,,22.17,25.05,32.47,,48.72,80.35,,🟢 Excellent,🟢 Zero,🟢 Excellent,quality,21-10-25
NEM,Newmont Corporation,Materials,US,Value,0.332,0.244,0.881,0.452,0.24,0.157,-0.081,0.028,0.397,23.0,91.86,76.7,1.37,41.65,0.48,1.05,33.19,,15.19,42.13,15.62,,39.06,5.62,,🟢 Excellent,🟢 Zero,🟢 Excellent,quality,21-10-25
MELI,MercadoLibre,Ecommerce/Fintech,LatAm,Growth,-0.312,-0.46,0.547,0.234,0.428,0.448,-0.289,-0.489,0.29,23.0,91.7,73.3,4.13,35.16,0.16,0.81,-38.69,,43.24,184.49,52.92,,12.3,6.78,,🟢 Excellent,🟢 Zero,🟢 Excellent,quality,21-10-25
ASR,Grupo Aeroportuario del Sureste,Infrastructure,LatAm,Value,-0.245,0.979,-0.079,0.677,0.804,0.888,0.847,0.827,0.64,19.0,86.01,78.3,1.19,48.94,3.41,1.14,-23.67,,18.59,31.32,12.29,,55.04,88.05,,🟡 Good,🟢 Zero,🟢 Excellent,quality,21-10-25
ZTS,Zoetis,Healthcare,US,Blend,-0.082,-0.309,-0.296,0.594,-0.098,-0.548,-0.556,-0.574,0.071,19.0,85.12,78.3,1.12,31.21,0.58,2.3,111.7,,5.98,6.87,25.13,,37.51,3.42,,🟡 Good,🟢 Zero,🟢 Excellent,quality,21-10-25
GRAB,Grab Holdings,SuperApp,Asia,Growth,-0.191,-1.211,0.041,0.044,0.367,-0.406,0.808,0.0,0.055,19.0,85.09,68.3,6.55,23.67,1.14,0.5,39.09,,60.62,,280.25,,2.8,2.68,,🟢 Excellent,🟢 Zero,🟡 Good,quality,21-10-25
ATAT,Atour Lifestyle,Hospitality,China,Growth,-0.087,0.317,0.458,0.22,0.352,1.015,0.151,-0.391,0.37,16.0,80.91,76.7,1.28,21.23,1.28,0.98,-45.78,,50.0,106.4,27.49,,22.23,32.65,,🟢 Excellent,🟢 Zero,🟡 Good,quality,21-10-25
GOOGL,Alphabet,Tech,US,Blend,0.181,-0.3,-0.191,0.609,0.037,0.188,0.17,-0.51,0.237,16.0,80.7,71.7,1.16,36.0,0.26,0.19,,,10.75,9.61,26.68,,32.68,2.23,,🟡 Good,🟢 Zero,🟢 Excellent,quality,21-10-25
MHVYF,Mitsubishi Heavy Industries,Industrials,Asia,Value,0.321,0.591,-0.188,0.136,0.815,-0.442,-0.428,-0.271,0.194,15.0,79.08,75.0,7.54,45.35,0.21,1.79,,,9.2,29.3,58.1,,6.38,613.0,,🟢 Excellent,🟢 Zero,🟢 Excellent,quality,21-10-25
9766.T,Konami Group Corp,Entertainment,Asia,Blend,0.106,-0.399,-0.197,0.177,0.015,0.009,0.719,-0.569,0.062,15.0,78.87,75.0,1.41,24.85,2.53,0.56,,,12.07,10.87,41.21,,24.39,1.3,,🟢 Excellent,🟢 Zero,🟡 Good,quality,21-10-25
SE,Sea Ltd,Ecommerce/Fintech,Asia,Growth,-0.193,-0.629,0.204,-0.011,0.081,0.458,-0.149,0.0,0.053,15.0,78.86,65.0,3.8,23.55,0.21,0.9,-10.6,,19.1,,85.1,,7.49,,,🟢 Excellent,🟢 Zero,🟡 Good,quality,21-10-25
TKO,TKO Group Holdings,Media & Sports,US,Blend,-0.065,-0.346,-0.053,0.197,-0.099,0.278,-0.507,0.209,0.031,15.0,78.82,71.7,3.75,20.26,0.78,3.84,,,39.55,-67.43,76.12,,21.64,4.58,,🟢 Excellent,🟢 Zero,🟡 Good,quality,21-10-25
AMZN,Amazon,Ecommerce,US,Growth,-0.14,-0.133,-0.097,0.075,-0.36,0.604,-0.224,0.0,-0.032,15.0,78.73,71.7,1.72,18.08,0.44,1.08,-2.56,,10.74,21.1,33.87,,11.37,0.57,,🟢 Excellent,🟢 Zero,🟡 Good,quality,21-10-25
ABBNY,ABB Ltd,Industrials,Europe,Blend,0.036,-0.275,-0.383,-0.033,-0.329,0.053,-0.269,-0.056,-0.175,11.0,72.27,75.0,1.1,13.77,0.28,1.69,,,4.31,-4.7,30.11,,16.01,2.8,,🟡 Good,🟢 Zero,🟠 Fair,quality,21-10-25
